event.uuid,event.classification,event.tlp,event.special_france,event.title.desensitized,event.reliability,event.description,event.date,event.apts,event.metadata,signature.uuid,signature.type,signature.description,signature.value,signature_component.uuid,signature_component.tlp,signature_component.type,signature_component.reliability,signature_component.metadata,signature_component.value,signature_component.description
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",13232130-5088-4c44-a14b-c9762fa91e58,domain-ip,,,239afbd1-597b-4bdd-a416-c3875e085ff2,white,datetime,Bonne,,10/03/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",13232130-5088-4c44-a14b-c9762fa91e58,domain-ip,,,77ba8e51-99d6-411d-861b-314e6b9adff7,white,datetime,Bonne,,05/09/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",13232130-5088-4c44-a14b-c9762fa91e58,domain-ip,,,e0ff4181-53a6-497e-a92b-49813c1715da,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",91.234.254.144,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",13232130-5088-4c44-a14b-c9762fa91e58,domain-ip,,,e46c658a-dbcd-4ab2-81e4-4146278343db,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",stonecrestnews.com,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e5e89737-d90a-40fc-a679-6b4a8c7e2463,domain-ip,,,5dea6365-492e-4d68-81be-753b5ed9e678,white,datetime,Bonne,,01/05/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e5e89737-d90a-40fc-a679-6b4a8c7e2463,domain-ip,,,942ee708-a0d6-41e3-954a-cb81f7d2302d,white,datetime,Bonne,,25/09/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e5e89737-d90a-40fc-a679-6b4a8c7e2463,domain-ip,,,507fa69d-3220-4e0d-8352-ab42e7887f96,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",194.135.81.18,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e5e89737-d90a-40fc-a679-6b4a8c7e2463,domain-ip,,,1b1df484-6b15-4ea0-920e-f140b8983549,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",teachingdrive.com,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",5756b49f-8978-4733-96fb-f1258c013369,domain-ip,,,49ece1eb-736b-43ad-8dfa-3b9ef4a50106,white,datetime,Bonne,,15/03/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",5756b49f-8978-4733-96fb-f1258c013369,domain-ip,,,de098062-74c4-422f-a899-f317d748f3f1,white,datetime,Bonne,,04/06/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",5756b49f-8978-4733-96fb-f1258c013369,domain-ip,,,24b5ca52-2505-4f2b-8a77-7a03346b9004,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",185.158.250.239,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",5756b49f-8978-4733-96fb-f1258c013369,domain-ip,,,0fe725c2-1c98-4db5-bdb5-246191818ee8,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",newstepsco.com,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",f44a0497-e022-4713-8948-f73bce2d5b2c,domain-ip,,,c6f10de3-a114-4952-bc1a-e1c7516e2b99,white,datetime,Bonne,,25/02/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",f44a0497-e022-4713-8948-f73bce2d5b2c,domain-ip,,,a2768f2c-6ad1-47de-ae9a-dd3153406e2f,white,datetime,Bonne,,10/06/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",f44a0497-e022-4713-8948-f73bce2d5b2c,domain-ip,,,82f2b29c-b8c5-4ff8-97db-d791c0e11a6a,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",195.206.181.169,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",f44a0497-e022-4713-8948-f73bce2d5b2c,domain-ip,,,716b252c-54d8-4dba-b495-08742ce263b3,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",tacomanewspaper.com,
